Tool,Year,Count
Excel,2020,15
Excel,2021,18
Excel,2022,16
Excel,2023,11
"Scientific Programming (e.g. R, Python)",2020,11
"Scientific Programming (e.g. R, Python)",2021,15
"Scientific Programming (e.g. R, Python)",2022,8
"Scientific Programming (e.g. R, Python)",2023,13
Bash/Shell,2020,2
Bash/Shell,2021,0
Bash/Shell,2023,0
Bash/Shell,2022,0
Other (please list),2020,1
Other (please list),2021,1
Other (please list),2022,2
Other (please list),2023,1
