Item,Tool,Count,Trial,Percent
What tool would you use to answer this question?,Excel,60,Pre-Bootcamp,52.63158
What tool would you use to answer this question?,"Scientific Programming (e.g. R, Python)",47,Pre-Bootcamp,41.22807
What tool would you use to answer this question?,Bash/Shell,2,Pre-Bootcamp,1.75439
What tool would you use to answer this question?,Other (please list),5,Pre-Bootcamp,4.38596
What tool would you use to answer this question?,Excel,17,Post-Bootcamp,15.17857
What tool would you use to answer this question?,"Scientific Programming (e.g. R, Python)",67,Post-Bootcamp,59.82143
What tool would you use to answer this question?,Bash/Shell,22,Post-Bootcamp,19.64286
What tool would you use to answer this question?,Other (please list),6,Post-Bootcamp,5.35714
